No,ExpNo,ExtractionType,Treatment,Species,Condition,Dilution,techRepNumber,isoRepNumber,HostVariety,TreatmentCode,ExpCode,645nm_without_adj,646nm_without_adj,663nm_without_adj,645nm,646nm,663nm,Volume,ChlorophyllA,ChlorophyllB,FinalpH,ChlSource,relative_chl,chl_perSqMill,chl
16,ES10,Chemical,DMCC2165,X.necrophora_DMCC2165_LA,shaking,100fold,techRep1,isoRep2,AG4632,ES10_DMCC2165_isoRep2_techRep1_100fold_AG4632,ES10_16,0.3,0.31,0.68,0.3,0.31,0.68,1,,,7.41,Chl_Chem_Arnon,11.5136,Chl_Chem_Arnon_ngPerSquareMillm,8060.419832
17,ES10,Chemical,DMCC2165,X.necrophora_DMCC2165_LA,shaking,100fold,techRep2,isoRep2,AG4632,ES10_DMCC2165_isoRep2_techRep2_100fold_AG4632,ES10_17,0.12,0.13,0.34,0.12,0.13,0.34,1,,,7.46,Chl_Chem_Arnon,5.1508,Chl_Chem_Arnon_ngPerSquareMillm,3661.981787
18,ES10,Chemical,DMCC2165,X.necrophora_DMCC2165_LA,shaking,100fold,techRep3,isoRep2,AG4632,ES10_DMCC2165_isoRep2_techRep3_100fold_AG4632,ES10_18,0.04,0.04,0.14,0.04,0.04,0.14,1,,,7.53,Chl_Chem_Arnon,1.9308,Chl_Chem_Arnon_ngPerSquareMillm,1308.598454
19,ES10,Chemical,DMCC2165,X.necrophora_DMCC2165_LA,shaking,100fold,techRep1,isoRep3,AG4632,ES10_DMCC2165_isoRep3_techRep1_100fold_AG4632,ES10_19,0.08,0.08,0.18,0.08,0.08,0.18,1,,,7.54,Chl_Chem_Arnon,3.0596,Chl_Chem_Arnon_ngPerSquareMillm,2103.315874
20,ES10,Chemical,DMCC2165,X.necrophora_DMCC2165_LA,shaking,100fold,techRep2,isoRep3,AG4632,ES10_DMCC2165_isoRep3_techRep2_100fold_AG4632,ES10_20,0.3,0.31,0.67,0.3,0.31,0.67,1,,,7.45,Chl_Chem_Arnon,11.4334,Chl_Chem_Arnon_ngPerSquareMillm,8009.031728
21,ES10,Chemical,DMCC2165,X.necrophora_DMCC2165_LA,shaking,100fold,techRep3,isoRep3,AG4632,ES10_DMCC2165_isoRep3_techRep3_100fold_AG4632,ES10_21,0.12,0.13,0.24,0.12,0.13,0.24,1,,,7.56,Chl_Chem_Arnon,4.3488,Chl_Chem_Arnon_ngPerSquareMillm,3148.100752
22,ES10,Chemical,DMCC2165,X.necrophora_DMCC2165_LA,shaking,100fold,techRep1,isoRep4,AG4632,ES10_DMCC2165_isoRep4_techRep1_100fold_AG4632,ES10_22,0.42,0.43,0.91,0.378,0.387,0.819,0.9,,,7.49,Chl_Chem_Arnon,14.20398,Chl_Chem_Arnon_ngPerSquareMillm,9908.857106
23,ES10,Chemical,DMCC2165,X.necrophora_DMCC2165_LA,shaking,100fold,techRep2,isoRep4,AG4632,ES10_DMCC2165_isoRep4_techRep2_100fold_AG4632,ES10_23,0.15,0.16,0.4,0.15,0.16,0.4,1,,,7.54,Chl_Chem_Arnon,6.238,Chl_Chem_Arnon_ngPerSquareMillm,4412.184162
24,ES10,Chemical,DMCC2165,X.necrophora_DMCC2165_LA,shaking,100fold,techRep3,isoRep4,AG4632,ES10_DMCC2165_isoRep4_techRep3_100fold_AG4632,ES10_24,0.39,0.41,0.92,0.39,0.41,0.92,1,,,7.51,Chl_Chem_Arnon,15.2564,Chl_Chem_Arnon_ngPerSquareMillm,10766.64683
25,ES10,Chemical,DMCC3828,X.necrophora_DMCC3828_Martinique,shaking,100fold,techRep1,isoRep1,AG4632,ES10_DMCC3828_isoRep1_techRep1_100fold_AG4632,ES10_25,0.32,0.33,0.74,0.32,0.33,0.74,1,,,7.44,Chl_Chem_Arnon,12.3988,Chl_Chem_Arnon_ngPerSquareMillm,8663.330955
26,ES10,Chemical,DMCC3828,X.necrophora_DMCC3828_Martinique,shaking,100fold,techRep2,isoRep1,AG4632,ES10_DMCC3828_isoRep1_techRep2_100fold_AG4632,ES10_26,0.27,0.29,0.64,0.27,0.29,0.64,1,,,7.41,Chl_Chem_Arnon,10.5868,Chl_Chem_Arnon_ngPerSquareMillm,7560.284915
27,ES10,Chemical,DMCC3828,X.necrophora_DMCC3828_Martinique,shaking,100fold,techRep3,isoRep1,AG4632,ES10_DMCC3828_isoRep1_techRep3_100fold_AG4632,ES10_27,0.2,0.21,0.51,0.2,0.21,0.51,1,,,7.53,Chl_Chem_Arnon,8.1302,Chl_Chem_Arnon_ngPerSquareMillm,5713.909558
28,ES10,Chemical,DMCC3828,X.necrophora_DMCC3828_Martinique,shaking,100fold,techRep1,isoRep2,AG4632,ES10_DMCC3828_isoRep2_techRep1_100fold_AG4632,ES10_28,0.34,0.36,0.76,0.34,0.36,0.76,1,,,7.47,Chl_Chem_Arnon,12.9632,Chl_Chem_Arnon_ngPerSquareMillm,9207.980917
29,ES10,Chemical,DMCC3828,X.necrophora_DMCC3828_Martinique,shaking,100fold,techRep2,isoRep2,AG4632,ES10_DMCC3828_isoRep2_techRep2_100fold_AG4632,ES10_29,0.25,0.27,0.63,0.25,0.27,0.63,1,,,7.51,Chl_Chem_Arnon,10.1026,Chl_Chem_Arnon_ngPerSquareMillm,7214.314308
30,ES10,Chemical,DMCC3828,X.necrophora_DMCC3828_Martinique,shaking,100fold,techRep3,isoRep2,AG4632,ES10_DMCC3828_isoRep2_techRep3_100fold_AG4632,ES10_30,0.49,0.51,1.09,0.392,0.408,0.872,0.8,,,7.36,Chl_Chem_Arnon,14.91184,Chl_Chem_Arnon_ngPerSquareMillm,10490.52568
31,ES10,Chemical,DMCC3828,X.necrophora_DMCC3828_Martinique,shaking,100fold,techRep1,isoRep3,AG4632,ES10_DMCC3828_isoRep3_techRep1_100fold_AG4632,ES10_31,0.37,0.39,0.85,0.37,0.39,0.85,1,,,7.39,Chl_Chem_Arnon,14.291,Chl_Chem_Arnon_ngPerSquareMillm,10112.3476
32,ES10,Chemical,DMCC3828,X.necrophora_DMCC3828_Martinique,shaking,100fold,techRep2,isoRep3,AG4632,ES10_DMCC3828_isoRep3_techRep2_100fold_AG4632,ES10_32,0.27,0.28,0.58,0.27,0.28,0.58,1,,,7.51,Chl_Chem_Arnon,10.1056,Chl_Chem_Arnon_ngPerSquareMillm,7104.665042
33,ES10,Chemical,DMCC3828,X.necrophora_DMCC3828_Martinique,shaking,100fold,techRep3,isoRep3,AG4632,ES10_DMCC3828_isoRep3_techRep3_100fold_AG4632,ES10_33,0.36,0.38,0.82,0.36,0.38,0.82,1,,,7.43,Chl_Chem_Arnon,13.8484,Chl_Chem_Arnon_ngPerSquareMillm,9810.89204
34,ES10,Chemical,DMCC3828,X.necrophora_DMCC3828_Martinique,shaking,100fold,techRep1,isoRep4,AG4632,ES10_DMCC3828_isoRep4_techRep1_100fold_AG4632,ES10_34,0.39,0.4,0.85,0.39,0.4,0.85,1,,,7.39,Chl_Chem_Arnon,14.695,Chl_Chem_Arnon_ngPerSquareMillm,10259.63885
35,ES10,Chemical,DMCC3828,X.necrophora_DMCC3828_Martinique,shaking,100fold,techRep2,isoRep4,AG4632,ES10_DMCC3828_isoRep4_techRep2_100fold_AG4632,ES10_35,0.4,0.41,0.83,0.4,0.41,0.83,1,,,7.46,Chl_Chem_Arnon,14.7366,Chl_Chem_Arnon_ngPerSquareMillm,10304.1539
36,ES10,Chemical,DMCC3828,X.necrophora_DMCC3828_Martinique,shaking,100fold,techRep3,isoRep4,AG4632,ES10_DMCC3828_isoRep4_techRep3_100fold_AG4632,ES10_36,0.39,0.4,0.86,0.39,0.4,0.86,1,,,7.47,Chl_Chem_Arnon,14.7752,Chl_Chem_Arnon_ngPerSquareMillm,10311.02696
37,ES10,Chemical,DMCC3830,X.cf.venustula_DMCC3830_LA,shaking,100fold,techRep1,isoRep1,AG4632,ES10_DMCC3830_isoRep1_techRep1_100fold_AG4632,ES10_37,0.04,0.05,0.12,0.04,0.05,0.12,1,,,6.65,Chl_Chem_Arnon,1.7704,Chl_Chem_Arnon_ngPerSquareMillm,1353.113499
38,ES10,Chemical,DMCC3830,X.cf.venustula_DMCC3830_LA,shaking,100fold,techRep2,isoRep1,AG4632,ES10_DMCC3830_isoRep1_techRep2_100fold_AG4632,ES10_38,0.12,0.12,0.22,0.12,0.12,0.22,1,,,7.17,Chl_Chem_Arnon,4.1884,Chl_Chem_Arnon_ngPerSquareMillm,2898.033294
39,ES10,Chemical,DMCC3830,X.cf.venustula_DMCC3830_LA,shaking,100fold,techRep3,isoRep1,AG4632,ES10_DMCC3830_isoRep1_techRep3_100fold_AG4632,ES10_39,0.12,0.12,0.24,0.12,0.12,0.24,1,,,7.52,Chl_Chem_Arnon,4.3488,Chl_Chem_Arnon_ngPerSquareMillm,3000.809501
40,ES10,Chemical,DMCC3830,X.cf.venustula_DMCC3830_LA,shaking,100fold,techRep1,isoRep2,AG4632,ES10_DMCC3830_isoRep2_techRep1_100fold_AG4632,ES10_40,0.11,0.12,0.29,0.11,0.12,0.29,1,,,7.61,Chl_Chem_Arnon,4.5478,Chl_Chem_Arnon_ngPerSquareMillm,3257.750018
41,ES10,Chemical,DMCC3830,X.cf.venustula_DMCC3830_LA,shaking,100fold,techRep2,isoRep2,AG4632,ES10_DMCC3830_isoRep2_techRep2_100fold_AG4632,ES10_41,0.23,0.24,0.53,0.23,0.24,0.53,1,,,7.54,Chl_Chem_Arnon,8.8966,Chl_Chem_Arnon_ngPerSquareMillm,6258.559519
42,ES10,Chemical,DMCC3830,X.cf.venustula_DMCC3830_LA,shaking,100fold,techRep3,isoRep2,AG4632,ES10_DMCC3830_isoRep2_techRep3_100fold_AG4632,ES10_42,0.05,0.05,0.11,0.05,0.05,0.11,1,,,7.56,Chl_Chem_Arnon,1.8922,Chl_Chem_Arnon_ngPerSquareMillm,1301.725396
43,ES10,Chemical,DMCC3830,X.cf.venustula_DMCC3830_LA,shaking,100fold,techRep1,isoRep3,AG4632,ES10_DMCC3830_isoRep3_techRep1_100fold_AG4632,ES10_43,0.08,0.08,0.19,0.08,0.08,0.19,1,,,7.59,Chl_Chem_Arnon,3.1398,Chl_Chem_Arnon_ngPerSquareMillm,2154.703978
44,ES10,Chemical,DMCC3830,X.cf.venustula_DMCC3830_LA,shaking,100fold,techRep2,isoRep3,AG4632,ES10_DMCC3830_isoRep3_techRep2_100fold_AG4632,ES10_44,0.02,0.02,0.05,0.02,0.02,0.05,1,,,7.49,Chl_Chem_Arnon,0.805,Chl_Chem_Arnon_ngPerSquareMillm,551.5230203
45,ES10,Chemical,DMCC3830,X.cf.venustula_DMCC3830_LA,shaking,100fold,techRep3,isoRep3,AG4632,ES10_DMCC3830_isoRep3_techRep3_100fold_AG4632,ES10_45,0.45,0.46,0.99,0.45,0.46,0.99,1,,,7.62,Chl_Chem_Arnon,17.0298,Chl_Chem_Arnon_ngPerSquareMillm,11862.81981
46,ES10,Chemical,DMCC3830,X.cf.venustula_DMCC3830_LA,shaking,100fold,techRep1,isoRep4,AG4632,ES10_DMCC3830_isoRep4_techRep1_100fold_AG4632,ES10_46,0.25,0.26,0.59,0.25,0.26,0.59,1,,,7.5,Chl_Chem_Arnon,9.7818,Chl_Chem_Arnon_ngPerSquareMillm,6861.470643
47,ES10,Chemical,DMCC3830,X.cf.venustula_DMCC3830_LA,shaking,100fold,techRep2,isoRep4,AG4632,ES10_DMCC3830_isoRep4_techRep2_100fold_AG4632,ES10_47,0.1,0.11,0.23,0.1,0.11,0.23,1,,,7.6,Chl_Chem_Arnon,3.8646,Chl_Chem_Arnon_ngPerSquareMillm,2802.130146
48,ES10,Chemical,DMCC3830,X.cf.venustula_DMCC3830_LA,shaking,100fold,techRep3,isoRep4,AG4632,ES10_DMCC3830_isoRep4_techRep3_100fold_AG4632,ES10_48,0.05,0.06,0.18,0.05,0.06,0.18,1,,,7.58,Chl_Chem_Arnon,2.4536,Chl_Chem_Arnon_ngPerSquareMillm,1808.733371
49,ES10,Chemical,Control,Control,shaking,25fold,techRep1,isoRep1,AG4632,ES10_Control_isoRep1_techRep1_25fold_AG4632,ES10_49,0.41,0.43,0.96,0.41,0.43,0.96,1,,,7.1,Chl_Chem_Arnon,15.9812,Chl_Chem_Arnon_ngPerSquareMillm,11266.78175
50,ES10,Chemical,Control,Control,shaking,25fold,techRep2,isoRep1,AG4632,ES10_Control_isoRep1_techRep2_25fold_AG4632,ES10_50,0.32,0.33,0.72,0.32,0.33,0.72,1,,,7.07,Chl_Chem_Arnon,12.2384,Chl_Chem_Arnon_ngPerSquareMillm,8560.554748
51,ES10,Chemical,Control,Control,shaking,25fold,techRep3,isoRep1,AG4632,ES10_Control_isoRep1_techRep3_25fold_AG4632,ES10_51,0.38,0.4,0.9,0.38,0.4,0.9,1,,,6.67,Chl_Chem_Arnon,14.894,Chl_Chem_Arnon_ngPerSquareMillm,10516.57937
52,ES10,Chemical,Control,Control,shaking,25fold,techRep1,isoRep2,AG4632,ES10_Control_isoRep2_techRep1_25fold_AG4632,ES10_52,0.19,0.2,0.47,0.19,0.2,0.47,1,,,5.84,Chl_Chem_Arnon,7.6074,Chl_Chem_Arnon_ngPerSquareMillm,5361.065892
53,ES10,Chemical,Control,Control,shaking,25fold,techRep2,isoRep2,AG4632,ES10_Control_isoRep2_techRep2_25fold_AG4632,ES10_53,0.41,0.43,0.96,0.41,0.43,0.96,1,,,7.18,Chl_Chem_Arnon,15.9812,Chl_Chem_Arnon_ngPerSquareMillm,11266.78175
54,ES10,Chemical,Control,Control,shaking,25fold,techRep3,isoRep2,AG4632,ES10_Control_isoRep2_techRep3_25fold_AG4632,ES10_54,0.38,0.4,0.93,0.38,0.4,0.93,1,,,6.93,Chl_Chem_Arnon,15.1346,Chl_Chem_Arnon_ngPerSquareMillm,10670.74368
55,ES10,Chemical,Control,Control,shaking,25fold,techRep1,isoRep3,AG4632,ES10_Control_isoRep3_techRep1_25fold_AG4632,ES10_55,0.34,0.35,0.74,0.34,0.35,0.74,1,,,6.23,Chl_Chem_Arnon,12.8028,Chl_Chem_Arnon_ngPerSquareMillm,8957.913458
56,ES10,Chemical,Control,Control,shaking,25fold,techRep2,isoRep3,AG4632,ES10_Control_isoRep3_techRep2_25fold_AG4632,ES10_56,0.23,0.24,0.52,0.23,0.24,0.52,1,,,6.79,Chl_Chem_Arnon,8.8164,Chl_Chem_Arnon_ngPerSquareMillm,6207.171416
57,ES10,Chemical,Control,Control,shaking,25fold,techRep3,isoRep3,AG4632,ES10_Control_isoRep3_techRep3_25fold_AG4632,ES10_57,0.38,0.4,0.89,0.38,0.4,0.89,1,,,6.11,Chl_Chem_Arnon,14.8138,Chl_Chem_Arnon_ngPerSquareMillm,10465.19127
58,ES10,Chemical,Control,Control,shaking,25fold,techRep1,isoRep4,AG4632,ES10_Control_isoRep4_techRep1_25fold_AG4632,ES10_58,0.28,0.29,0.57,0.28,0.29,0.57,1,,,5.76,Chl_Chem_Arnon,10.2274,Chl_Chem_Arnon_ngPerSquareMillm,7200.56819
59,ES10,Chemical,Control,Control,shaking,25fold,techRep2,isoRep4,AG4632,ES10_Control_isoRep4_techRep2_25fold_AG4632,ES10_59,0.38,0.39,0.88,0.38,0.39,0.88,1,,,6.33,Chl_Chem_Arnon,14.7336,Chl_Chem_Arnon_ngPerSquareMillm,10266.51191
60,ES10,Chemical,Control,Control,shaking,25fold,techRep3,isoRep4,AG4632,ES10_Control_isoRep4_techRep3_25fold_AG4632,ES10_60,0.62,0.64,1.37,0.62,0.64,1.37,1,,,6.39,Chl_Chem_Arnon,23.5114,Chl_Chem_Arnon_ngPerSquareMillm,16466.81027
61,ES10,Chemical,DMCC2165,X.necrophora_DMCC2165_LA,shaking,25fold,techRep1,isoRep1,AG4632,ES10_DMCC2165_isoRep1_techRep1_25fold_AG4632,ES10_61,0.09,0.1,0.3,0.09,0.1,0.3,1,,,7.28,Chl_Chem_Arnon,4.224,Chl_Chem_Arnon_ngPerSquareMillm,3014.555619
62,ES10,Chemical,DMCC2165,X.necrophora_DMCC2165_LA,shaking,25fold,techRep2,isoRep1,AG4632,ES10_DMCC2165_isoRep1_techRep2_25fold_AG4632,ES10_62,0.11,0.12,0.25,0.11,0.12,0.25,1,,,7.36,Chl_Chem_Arnon,4.227,Chl_Chem_Arnon_ngPerSquareMillm,3052.197604
63,ES10,Chemical,DMCC2165,X.necrophora_DMCC2165_LA,shaking,25fold,techRep3,isoRep1,AG4632,ES10_DMCC2165_isoRep1_techRep3_25fold_AG4632,ES10_63,0.23,0.24,0.55,0.23,0.24,0.55,1,,,6.49,Chl_Chem_Arnon,9.057,Chl_Chem_Arnon_ngPerSquareMillm,6361.335726
64,ES10,Chemical,DMCC2165,X.necrophora_DMCC2165_LA,shaking,25fold,techRep1,isoRep2,AG4632,ES10_DMCC2165_isoRep2_techRep1_25fold_AG4632,ES10_64,0.23,0.24,0.58,0.207,0.216,0.522,0.9,,,6.59,Chl_Chem_Arnon,8.36784,Chl_Chem_Arnon_ngPerSquareMillm,5863.950033
65,ES10,Chemical,DMCC2165,X.necrophora_DMCC2165_LA,shaking,25fold,techRep2,isoRep2,AG4632,ES10_DMCC2165_isoRep2_techRep2_25fold_AG4632,ES10_65,0.02,0.03,0.09,0.02,0.03,0.09,1,,,6.93,Chl_Chem_Arnon,1.1258,Chl_Chem_Arnon_ngPerSquareMillm,904.3666856
66,ES10,Chemical,DMCC2165,X.necrophora_DMCC2165_LA,shaking,25fold,techRep3,isoRep2,AG4632,ES10_DMCC2165_isoRep2_techRep3_25fold_AG4632,ES10_66,0.03,0.03,0.09,0.03,0.03,0.09,1,,,7.19,Chl_Chem_Arnon,1.3278,Chl_Chem_Arnon_ngPerSquareMillm,904.3666856
67,ES10,Chemical,DMCC2165,X.necrophora_DMCC2165_LA,shaking,25fold,techRep1,isoRep3,AG4632,ES10_DMCC2165_isoRep3_techRep1_25fold_AG4632,ES10_67,0.27,0.28,0.61,0.243,0.252,0.549,0.9,,,7.33,Chl_Chem_Arnon,9.31158,Chl_Chem_Arnon_ngPerSquareMillm,6532.946418
68,ES10,Chemical,DMCC2165,X.necrophora_DMCC2165_LA,shaking,25fold,techRep2,isoRep3,AG4632,ES10_DMCC2165_isoRep3_techRep2_25fold_AG4632,ES10_68,0.19,0.19,0.4,0.19,0.19,0.4,1,,,6.76,Chl_Chem_Arnon,7.046,Chl_Chem_Arnon_ngPerSquareMillm,4854.057917
69,ES10,Chemical,DMCC2165,X.necrophora_DMCC2165_LA,shaking,25fold,techRep3,isoRep3,AG4632,ES10_DMCC2165_isoRep3_techRep3_25fold_AG4632,ES10_69,0.11,0.12,0.32,0.11,0.12,0.32,1,,,6.73,Chl_Chem_Arnon,4.7884,Chl_Chem_Arnon_ngPerSquareMillm,3411.914329
70,ES10,Chemical,DMCC2165,X.necrophora_DMCC2165_LA,shaking,25fold,techRep1,isoRep4,AG4632,ES10_DMCC2165_isoRep4_techRep1_25fold_AG4632,ES10_70,0.29,0.31,0.72,0.29,0.31,0.72,1,,,7.08,Chl_Chem_Arnon,11.6324,Chl_Chem_Arnon_ngPerSquareMillm,8265.972245
71,ES10,Chemical,DMCC2165,X.necrophora_DMCC2165_LA,shaking,25fold,techRep2,isoRep4,AG4632,ES10_DMCC2165_isoRep4_techRep2_25fold_AG4632,ES10_71,0.14,0.15,0.34,0.14,0.15,0.34,1,,,7.28,Chl_Chem_Arnon,5.5548,Chl_Chem_Arnon_ngPerSquareMillm,3956.56429
72,ES10,Chemical,DMCC2165,X.necrophora_DMCC2165_LA,shaking,25fold,techRep3,isoRep4,AG4632,ES10_DMCC2165_isoRep4_techRep3_25fold_AG4632,ES10_72,0.2,0.22,0.46,0.2,0.22,0.46,1,,,7.04,Chl_Chem_Arnon,7.7292,Chl_Chem_Arnon_ngPerSquareMillm,5604.260292
73,ES10,Chemical,DMCC3828,X.necrophora_DMCC3828_Martinique,shaking,25fold,techRep1,isoRep1,AG4632,ES10_DMCC3828_isoRep1_techRep1_25fold_AG4632,ES10_73,0.18,0.19,0.47,0.18,0.19,0.47,1,,,5.34,Chl_Chem_Arnon,7.4054,Chl_Chem_Arnon_ngPerSquareMillm,5213.774641
74,ES10,Chemical,DMCC3828,X.necrophora_DMCC3828_Martinique,shaking,25fold,techRep2,isoRep1,AG4632,ES10_DMCC3828_isoRep1_techRep2_25fold_AG4632,ES10_74,0.15,0.16,0.36,0.15,0.16,0.36,1,,,7.02,Chl_Chem_Arnon,5.9172,Chl_Chem_Arnon_ngPerSquareMillm,4206.631748
75,ES10,Chemical,DMCC3828,X.necrophora_DMCC3828_Martinique,shaking,25fold,techRep3,isoRep1,AG4632,ES10_DMCC3828_isoRep1_techRep3_25fold_AG4632,ES10_75,0.3,0.31,0.68,0.3,0.31,0.68,1,,,7.15,Chl_Chem_Arnon,11.5136,Chl_Chem_Arnon_ngPerSquareMillm,8060.419832
76,ES10,Chemical,DMCC3828,X.necrophora_DMCC3828_Martinique,shaking,25fold,techRep1,isoRep2,AG4632,ES10_DMCC3828_isoRep2_techRep1_25fold_AG4632,ES10_76,0.32,0.34,0.72,0.32,0.34,0.72,1,,,6.79,Chl_Chem_Arnon,12.2384,Chl_Chem_Arnon_ngPerSquareMillm,8707.846
77,ES10,Chemical,DMCC3828,X.necrophora_DMCC3828_Martinique,shaking,25fold,techRep2,isoRep2,AG4632,ES10_DMCC3828_isoRep2_techRep2_25fold_AG4632,ES10_77,0.11,0.11,0.27,0.11,0.11,0.27,1,,,6.66,Chl_Chem_Arnon,4.3874,Chl_Chem_Arnon_ngPerSquareMillm,3007.68256
78,ES10,Chemical,DMCC3828,X.necrophora_DMCC3828_Martinique,shaking,25fold,techRep3,isoRep2,AG4632,ES10_DMCC3828_isoRep2_techRep3_25fold_AG4632,ES10_78,0.4,0.41,0.8,0.2,0.205,0.4,0.5,,,7.39,Chl_Chem_Arnon,7.248,Chl_Chem_Arnon_ngPerSquareMillm,5074.994794
79,ES10,Chemical,DMCC3828,X.necrophora_DMCC3828_Martinique,shaking,25fold,techRep1,isoRep3,AG4632,ES10_DMCC3828_isoRep3_techRep1_25fold_AG4632,ES10_79,0.12,0.13,0.24,0.12,0.13,0.24,1,,,6.64,Chl_Chem_Arnon,4.3488,Chl_Chem_Arnon_ngPerSquareMillm,3148.100752
80,ES10,Chemical,DMCC3828,X.necrophora_DMCC3828_Martinique,shaking,25fold,techRep2,isoRep3,AG4632,ES10_DMCC3828_isoRep3_techRep2_25fold_AG4632,ES10_80,0.31,0.33,0.78,0.31,0.33,0.78,1,,,7.09,Chl_Chem_Arnon,12.5176,Chl_Chem_Arnon_ngPerSquareMillm,8868.883369
