No,ExpNo,FileCode,PhotoCode,ExtractionType,ExpCode,DAI,Host,HostVariety,Treatment,Condition,Dilution,techRep,isoRepNumber,sampleNumber,ExposureTreatment,chl
19,ES2,NA,NA,Digital,ES2_7,14DAI,Soybean,AG4632,DMCC2165,Shaking,100fold,Stem2,isolateRep1,sample1,raw,NA
20,ES2,NA,NA,Digital,ES2_7,14DAI,Soybean,AG4632,DMCC2165,Shaking,100fold,Stem2,isolateRep1,sample2,raw,NA
21,ES2,NA,NA,Digital,ES2_7,14DAI,Soybean,AG4632,DMCC2165,Shaking,100fold,Stem2,isolateRep1,sample3,raw,NA
22,ES2,DSC_0525.mod.sample.clean.chl.csv,NA,Digital,ES2_8,14DAI,Soybean,AG4632,DMCC2165,Shaking,100fold,Stem2,isolateRep2,sample1,raw,81.669
23,ES2,DSC_0525.mod.sample2.clean.chl.csv,NA,Digital,ES2_8,14DAI,Soybean,AG4632,DMCC2165,Shaking,100fold,Stem2,isolateRep2,sample2,raw,150.248
24,ES2,DSC_0525.mod.sample3.clean.chl.csv,NA,Digital,ES2_8,14DAI,Soybean,AG4632,DMCC2165,Shaking,100fold,Stem2,isolateRep2,sample3,raw,90.038
25,ES2,NA,NA,Digital,ES2_9,14DAI,Soybean,AG4632,DMCC2165,Shaking,25fold,Stem3,isolateRep1,sample1,raw,NA
26,ES2,NA,NA,Digital,ES2_9,14DAI,Soybean,AG4632,DMCC2165,Shaking,25fold,Stem3,isolateRep1,sample2,raw,NA
27,ES2,NA,NA,Digital,ES2_9,14DAI,Soybean,AG4632,DMCC2165,Shaking,25fold,Stem3,isolateRep1,sample3,raw,NA
28,ES2,DSC_0424.sample.clean.chl.csv,NA,Digital,ES2_10,14DAI,Soybean,AG4632,DMCC2165,Shaking,25fold,Stem3,isolateRep2,sample1,raw,12.949
29,ES2,DSC_0424.sample2.clean.chl.csv,NA,Digital,ES2_10,14DAI,Soybean,AG4632,DMCC2165,Shaking,25fold,Stem3,isolateRep2,sample2,raw,0
30,ES2,DSC_0424.sample3.clean.chl.csv,NA,Digital,ES2_10,14DAI,Soybean,AG4632,DMCC2165,Shaking,25fold,Stem3,isolateRep2,sample3,raw,0
31,ES2,DSC_0453.mod.sample.clean.chl.csv,NA,Digital,ES2_11,14DAI,Soybean,AG4632,DMCC2165,Shaking,100fold,Stem3,isolateRep1,sample1,raw,22.609
32,ES2,DSC_0453.mod.sample2.clean.chl.csv,NA,Digital,ES2_11,14DAI,Soybean,AG4632,DMCC2165,Shaking,100fold,Stem3,isolateRep1,sample2,raw,0
33,ES2,DSC_0453.mod.sample3.clean.chl.csv,NA,Digital,ES2_11,14DAI,Soybean,AG4632,DMCC2165,Shaking,100fold,Stem3,isolateRep1,sample3,raw,0
34,ES2,NA,NA,Digital,ES2_12,14DAI,Soybean,AG4632,DMCC2165,Shaking,100fold,Stem3,isolateRep2,sample1,raw,NA
35,ES2,NA,NA,Digital,ES2_12,14DAI,Soybean,AG4632,DMCC2165,Shaking,100fold,Stem3,isolateRep2,sample2,raw,NA
36,ES2,NA,NA,Digital,ES2_12,14DAI,Soybean,AG4632,DMCC2165,Shaking,100fold,Stem3,isolateRep2,sample3,raw,NA
37,ES2,DSC_0519.sample.clean.chl.csv,NA,Digital,ES2_13,14DAI,Soybean,AG4632,DMCC2165,Stationary,25fold,Stem1,isolateRep1,sample1,raw,10.417
38,ES2,DSC_0519.sample2.clean.chl.csv,NA,Digital,ES2_13,14DAI,Soybean,AG4632,DMCC2165,Stationary,25fold,Stem1,isolateRep1,sample2,raw,15.869
39,ES2,DSC_0519.sample3.clean.chl.csv,NA,Digital,ES2_13,14DAI,Soybean,AG4632,DMCC2165,Stationary,25fold,Stem1,isolateRep1,sample3,raw,0
40,ES2,DSC_0274.mod.sample.clean.chl.csv,NA,Digital,ES2_14,14DAI,Soybean,AG4632,DMCC2165,Stationary,25fold,Stem1,isolateRep2,sample1,raw,13.858
41,ES2,DSC_0274.mod.sample2.clean.chl.csv,NA,Digital,ES2_14,14DAI,Soybean,AG4632,DMCC2165,Stationary,25fold,Stem1,isolateRep2,sample2,raw,17.639
42,ES2,DSC_0274.mod.sample3.clean.chl.csv,NA,Digital,ES2_14,14DAI,Soybean,AG4632,DMCC2165,Stationary,25fold,Stem1,isolateRep2,sample3,raw,17.263
43,ES2,DSC_0426.sample.clean.chl.csv,NA,Digital,ES2_15,14DAI,Soybean,AG4632,DMCC2165,Stationary,100fold,Stem1,isolateRep1,sample1,raw,108.39
44,ES2,DSC_0426.sample2.clean.chl.csv,NA,Digital,ES2_15,14DAI,Soybean,AG4632,DMCC2165,Stationary,100fold,Stem1,isolateRep1,sample2,raw,165.454
45,ES2,DSC_0426.sample3.clean.chl.csv,NA,Digital,ES2_15,14DAI,Soybean,AG4632,DMCC2165,Stationary,100fold,Stem1,isolateRep1,sample3,raw,187.945
46,ES2,NA,NA,Digital,ES2_16,14DAI,Soybean,AG4632,DMCC2165,Stationary,100fold,Stem1,isolateRep2,sample1,raw,NA
47,ES2,NA,NA,Digital,ES2_16,14DAI,Soybean,AG4632,DMCC2165,Stationary,100fold,Stem1,isolateRep2,sample2,raw,NA
48,ES2,NA,NA,Digital,ES2_16,14DAI,Soybean,AG4632,DMCC2165,Stationary,100fold,Stem1,isolateRep2,sample3,raw,NA
49,ES2,DSC_0550.sample.clean.chl.csv,NA,Digital,ES2_17,14DAI,Soybean,AG4632,DMCC2165,Stationary,25fold,Stem2,isolateRep1,sample1,raw,8.362
50,ES2,DSC_0550.sample2.clean.chl.csv,NA,Digital,ES2_17,14DAI,Soybean,AG4632,DMCC2165,Stationary,25fold,Stem2,isolateRep1,sample2,raw,0
51,ES2,DSC_0550.sample3.clean.chl.csv,NA,Digital,ES2_17,14DAI,Soybean,AG4632,DMCC2165,Stationary,25fold,Stem2,isolateRep1,sample3,raw,0
52,ES2,DSC_0307.mod.sample.clean.chl.csv,NA,Digital,ES2_18,14DAI,Soybean,AG4632,DMCC2165,Stationary,25fold,Stem2,isolateRep2,sample1,raw,13.061
53,ES2,DSC_0307.mod.sample2.clean.chl.csv,NA,Digital,ES2_18,14DAI,Soybean,AG4632,DMCC2165,Stationary,25fold,Stem2,isolateRep2,sample2,raw,14
54,ES2,DSC_0307.mod.sample3.clean.chl.csv,NA,Digital,ES2_18,14DAI,Soybean,AG4632,DMCC2165,Stationary,25fold,Stem2,isolateRep2,sample3,raw,16.123
55,ES2,DSC_0562.mod.sample.clean.chl.csv,NA,Digital,ES2_19,14DAI,Soybean,AG4632,DMCC2165,Stationary,100fold,Stem2,isolateRep1,sample1,raw,11.261
56,ES2,DSC_0562.mod.sample2.clean.chl.csv,NA,Digital,ES2_19,14DAI,Soybean,AG4632,DMCC2165,Stationary,100fold,Stem2,isolateRep1,sample2,raw,24.386
57,ES2,DSC_0562.mod.sample3.clean.chl.csv,NA,Digital,ES2_19,14DAI,Soybean,AG4632,DMCC2165,Stationary,100fold,Stem2,isolateRep1,sample3,raw,0
58,ES2,DSC_0522.mod.sample.clean.chl.csv,NA,Digital,ES2_20,14DAI,Soybean,AG4632,DMCC2165,Stationary,100fold,Stem2,isolateRep2,NA,raw,9.818
59,ES2,DSC_0522.mod.sample2.clean.chl.csv,NA,Digital,ES2_20,14DAI,Soybean,AG4632,DMCC2165,Stationary,100fold,Stem2,isolateRep2,NA,raw,0
60,ES2,DSC_0522.mod.sample3.clean.chl.csv,NA,Digital,ES2_20,14DAI,Soybean,AG4632,DMCC2165,Stationary,100fold,Stem2,isolateRep2,NA,raw,0
61,ES2,DSC_0305.sample.clean.chl.csv,NA,Digital,ES2_21,14DAI,Soybean,AG4632,DMCC2165,Stationary,25fold,Stem3,isolateRep1,sample1,raw,10.434
62,ES2,DSC_0305.sample2.clean.chl.csv,NA,Digital,ES2_21,14DAI,Soybean,AG4632,DMCC2165,Stationary,25fold,Stem3,isolateRep1,sample2,raw,12.283
63,ES2,DSC_0305.sample3.clean.chl.csv,NA,Digital,ES2_21,14DAI,Soybean,AG4632,DMCC2165,Stationary,25fold,Stem3,isolateRep1,sample3,raw,11.273
64,ES2,DSC_0277.sample.clean.chl.csv,NA,Digital,ES2_22,14DAI,Soybean,AG4632,DMCC2165,Stationary,25fold,Stem3,isolateRep2,sample1,raw,0
65,ES2,DSC_0277.sample2.clean.chl.csv,NA,Digital,ES2_22,14DAI,Soybean,AG4632,DMCC2165,Stationary,25fold,Stem3,isolateRep2,sample2,raw,0
66,ES2,DSC_0277.sample3.clean.chl.csv,NA,Digital,ES2_22,14DAI,Soybean,AG4632,DMCC2165,Stationary,25fold,Stem3,isolateRep2,sample3,raw,0
67,ES2,DSC_0432.sample.clean.chl.csv,NA,Digital,ES2_23,14DAI,Soybean,AG4632,DMCC2165,Stationary,100fold,Stem3,isolateRep1,sample1,raw,106.645
68,ES2,DSC_0432.sample2.clean.chl.csv,NA,Digital,ES2_23,14DAI,Soybean,AG4632,DMCC2165,Stationary,100fold,Stem3,isolateRep1,sample2,raw,113.935
69,ES2,DSC_0432.sample3.clean.chl.csv,NA,Digital,ES2_23,14DAI,Soybean,AG4632,DMCC2165,Stationary,100fold,Stem3,isolateRep1,sample3,raw,101.446
70,ES2,DSC_0271.mod.sample.clean.chl.csv,NA,Digital,ES2_24,14DAI,Soybean,AG4632,DMCC2165,Stationary,100fold,Stem3,isolateRep2,sample1,raw,105.656
71,ES2,DSC_0271.mod.sample2.clean.chl.csv,NA,Digital,ES2_24,14DAI,Soybean,AG4632,DMCC2165,Stationary,100fold,Stem3,isolateRep2,sample2,raw,15.196
72,ES2,DSC_0271.mod.sample3.clean.chl.csv,NA,Digital,ES2_24,14DAI,Soybean,AG4632,DMCC2165,Stationary,100fold,Stem3,isolateRep2,sample3,raw,20.43
73,ES2,DSC_0225.sample.clean.chl.csv,NA,Digital,ES2_25,14DAI,Soybean,AG4632,DMCC2126,Shaking,25fold,Stem1,isolateRep1,sample1,raw,9.888
74,ES2,DSC_0225.sample2.clean.chl.csv,NA,Digital,ES2_25,14DAI,Soybean,AG4632,DMCC2126,Shaking,25fold,Stem1,isolateRep1,sample2,raw,0
75,ES2,DSC_0225.sample3.clean.chl.csv,NA,Digital,ES2_25,14DAI,Soybean,AG4632,DMCC2126,Shaking,25fold,Stem1,isolateRep1,sample3,raw,21.01
76,ES2,DSC_0280.sample.clean.chl.csv,NA,Digital,ES2_26,14DAI,Soybean,AG4632,DMCC2126,Shaking,25fold,Stem1,isolateRep2,sample1,raw,11.202
77,ES2,DSC_0280.sample2.clean.chl.csv,NA,Digital,ES2_26,14DAI,Soybean,AG4632,DMCC2126,Shaking,25fold,Stem1,isolateRep2,sample2,raw,15.735
78,ES2,DSC_0280.sample3.clean.chl.csv,NA,Digital,ES2_26,14DAI,Soybean,AG4632,DMCC2126,Shaking,25fold,Stem1,isolateRep2,sample3,raw,16.04
79,ES2,DSC_0282.mod.sample.clean.chl.csv,NA,Digital,ES2_27,14DAI,Soybean,AG4632,DMCC2126,Shaking,100fold,Stem1,isolateRep1,sample1,raw,119.537
80,ES2,DSC_0282.mod.sample2.clean.chl.csv,NA,Digital,ES2_27,14DAI,Soybean,AG4632,DMCC2126,Shaking,100fold,Stem1,isolateRep1,sample2,raw,258.737
81,ES2,DSC_0282.mod.sample3.clean.chl.csv,NA,Digital,ES2_27,14DAI,Soybean,AG4632,DMCC2126,Shaking,100fold,Stem1,isolateRep1,sample3,raw,281.899
82,ES2,NA,NA,Digital,ES2_28,14DAI,Soybean,AG4632,DMCC2126,Shaking,100fold,Stem1,isolateRep2,sample1,raw,NA
83,ES2,NA,NA,Digital,ES2_28,14DAI,Soybean,AG4632,DMCC2126,Shaking,100fold,Stem1,isolateRep2,sample2,raw,NA
84,ES2,NA,NA,Digital,ES2_28,14DAI,Soybean,AG4632,DMCC2126,Shaking,100fold,Stem1,isolateRep2,sample3,raw,NA
85,ES2,DSC_0291.sample.clean.chl.csv,NA,Digital,ES2_29,14DAI,Soybean,AG4632,DMCC2126,Shaking,25fold,Stem2,isolateRep1,sample1,raw,12.833
86,ES2,DSC_0291.sample2.clean.chl.csv,NA,Digital,ES2_29,14DAI,Soybean,AG4632,DMCC2126,Shaking,25fold,Stem2,isolateRep1,sample2,raw,0
87,ES2,DSC_0291.sample3.clean.chl.csv,NA,Digital,ES2_29,14DAI,Soybean,AG4632,DMCC2126,Shaking,25fold,Stem2,isolateRep1,sample3,raw,10.894
88,ES2,DSC_0233.sample.clean.chl.csv,NA,Digital,ES2_30,14DAI,Soybean,AG4632,DMCC2126,Shaking,25fold,Stem2,isolateRep2,sample1,raw,10.08
89,ES2,DSC_0233.sample2.clean.chl.csv,NA,Digital,ES2_30,14DAI,Soybean,AG4632,DMCC2126,Shaking,25fold,Stem2,isolateRep2,sample2,raw,20.471
90,ES2,DSC_0233.sample3.clean.chl.csv,NA,Digital,ES2_30,14DAI,Soybean,AG4632,DMCC2126,Shaking,25fold,Stem2,isolateRep2,sample3,raw,16.706
91,ES2,DSC_0341.mod.sample.clean.chl.csv,NA,Digital,ES2_31,14DAI,Soybean,AG4632,DMCC2126,Shaking,100fold,Stem2,isolateRep1,sample1,raw,65.511
92,ES2,DSC_0341.mod.sample2.clean.chl.csv,NA,Digital,ES2_31,14DAI,Soybean,AG4632,DMCC2126,Shaking,100fold,Stem2,isolateRep1,sample2,raw,81.206
93,ES2,DSC_0341.mod.sample3.clean.chl.csv,NA,Digital,ES2_31,14DAI,Soybean,AG4632,DMCC2126,Shaking,100fold,Stem2,isolateRep1,sample3,raw,158.505
94,ES2,NA,NA,Digital,ES2_32,14DAI,Soybean,AG4632,DMCC2126,Shaking,100fold,Stem2,isolateRep2,sample1,raw,NA
95,ES2,NA,NA,Digital,ES2_32,14DAI,Soybean,AG4632,DMCC2126,Shaking,100fold,Stem2,isolateRep2,sample2,raw,NA
96,ES2,NA,NA,Digital,ES2_32,14DAI,Soybean,AG4632,DMCC2126,Shaking,100fold,Stem2,isolateRep2,sample3,raw,NA
97,ES2,DSC_0485.sample.clean.chl.csv,NA,Digital,ES2_33,14DAI,Soybean,AG4632,DMCC2126,Shaking,25fold,Stem3,isolateRep1,sample1,raw,0
98,ES2,DSC_0485.sample2.clean.chl.csv,NA,Digital,ES2_33,14DAI,Soybean,AG4632,DMCC2126,Shaking,25fold,Stem3,isolateRep1,sample2,raw,0
99,ES2,DSC_0485.sample3.clean.chl.csv,NA,Digital,ES2_33,14DAI,Soybean,AG4632,DMCC2126,Shaking,25fold,Stem3,isolateRep1,sample3,raw,0
100,ES2,DSC_0531.sample.clean.chl.csv,NA,Digital,ES2_34,14DAI,Soybean,AG4632,DMCC2126,Shaking,25fold,Stem3,isolateRep2,sample1,raw,10.219
101,ES2,DSC_0531.sample2.clean.chl.csv,NA,Digital,ES2_34,14DAI,Soybean,AG4632,DMCC2126,Shaking,25fold,Stem3,isolateRep2,sample2,raw,29.554
102,ES2,DSC_0531.sample3.clean.chl.csv,NA,Digital,ES2_34,14DAI,Soybean,AG4632,DMCC2126,Shaking,25fold,Stem3,isolateRep2,sample3,raw,16.361
103,ES2,DSC_0399.mod.sample.clean.chl.csv,NA,Digital,ES2_35,14DAI,Soybean,AG4632,DMCC2126,Shaking,100fold,Stem3,isolateRep1,sample1,raw,82.959
104,ES2,DSC_0399.mod.sample2.clean.chl.csv,NA,Digital,ES2_35,14DAI,Soybean,AG4632,DMCC2126,Shaking,100fold,Stem3,isolateRep1,sample2,raw,90.967
105,ES2,DSC_0399.mod.sample3.clean.chl.csv,NA,Digital,ES2_35,14DAI,Soybean,AG4632,DMCC2126,Shaking,100fold,Stem3,isolateRep1,sample3,raw,108.438
106,ES2,DSC_0333.sample.clean.chl.csv,NA,Digital,ES2_36,14DAI,Soybean,AG4632,DMCC2126,Shaking,100fold,Stem3,isolateRep2,sample1,raw,10.433
107,ES2,DSC_0333.sample2.clean.chl.csv,NA,Digital,ES2_36,14DAI,Soybean,AG4632,DMCC2126,Shaking,100fold,Stem3,isolateRep2,sample2,raw,14.484
108,ES2,DSC_0333.sample3.clean.chl.csv,NA,Digital,ES2_36,14DAI,Soybean,AG4632,DMCC2126,Shaking,100fold,Stem3,isolateRep2,sample3,raw,12.599
109,ES2,NA,NA,Digital,ES2_37,14DAI,Soybean,AG4632,DMCC2126,Stationary,25fold,Stem1,isolateRep1,sample1,raw,NA
110,ES2,NA,NA,Digital,ES2_37,14DAI,Soybean,AG4632,DMCC2126,Stationary,25fold,Stem1,isolateRep1,sample2,raw,NA
111,ES2,NA,NA,Digital,ES2_37,14DAI,Soybean,AG4632,DMCC2126,Stationary,25fold,Stem1,isolateRep1,sample3,raw,NA
112,ES2,NA,NA,Digital,ES2_38,14DAI,Soybean,AG4632,DMCC2126,Stationary,25fold,Stem1,isolateRep2,sample1,raw,NA
113,ES2,NA,NA,Digital,ES2_38,14DAI,Soybean,AG4632,DMCC2126,Stationary,25fold,Stem1,isolateRep2,sample2,raw,NA
114,ES2,NA,NA,Digital,ES2_38,14DAI,Soybean,AG4632,DMCC2126,Stationary,25fold,Stem1,isolateRep2,sample3,raw,NA
115,ES2,DSC_0344.sample.clean.chl.csv,NA,Digital,ES2_39,14DAI,Soybean,AG4632,DMCC2126,Stationary,100fold,Stem1,isolateRep1,sample1,raw,128.688
116,ES2,DSC_0344.sample2.clean.chl.csv,NA,Digital,ES2_39,14DAI,Soybean,AG4632,DMCC2126,Stationary,100fold,Stem1,isolateRep1,sample2,raw,122.714
117,ES2,DSC_0344.sample3.clean.chl.csv,NA,Digital,ES2_39,14DAI,Soybean,AG4632,DMCC2126,Stationary,100fold,Stem1,isolateRep1,sample3,raw,155.593
118,ES2,DSC_0229.mod.sample.clean.chl.csv,NA,Digital,ES2_40,14DAI,Soybean,AG4632,DMCC2126,Stationary,100fold,Stem1,isolateRep2,sample1,raw,152.758
119,ES2,DSC_0229.mod.sample2.clean.chl.csv,NA,Digital,ES2_40,14DAI,Soybean,AG4632,DMCC2126,Stationary,100fold,Stem1,isolateRep2,sample2,raw,172.821
120,ES2,DSC_0229.mod.sample3.clean.chl.csv,NA,Digital,ES2_40,14DAI,Soybean,AG4632,DMCC2126,Stationary,100fold,Stem1,isolateRep2,sample3,raw,154.899
121,ES2,NA,NA,Digital,ES2_,14DAI,Soybean,AG4632,DMCC2126,Stationary,25fold,Stem2,isolateRep1,sample1,raw,NA
122,ES2,NA,NA,Digital,ES2_,14DAI,Soybean,AG4632,DMCC2126,Stationary,25fold,Stem2,isolateRep1,sample1,raw,NA
123,ES2,NA,NA,Digital,ES2_,14DAI,Soybean,AG4632,DMCC2126,Stationary,25fold,Stem2,isolateRep1,sample1,raw,NA
124,ES2,DSC_0492.sample.clean.chl.csv,NA,Digital,ES2_42,14DAI,Soybean,AG4632,DMCC2126,Stationary,25fold,Stem2,isolateRep2,sample1,raw,22.62
125,ES2,DSC_0492.sample2.clean.chl.csv,NA,Digital,ES2_42,14DAI,Soybean,AG4632,DMCC2126,Stationary,25fold,Stem2,isolateRep2,sample2,raw,51.676
126,ES2,DSC_0492.sample3.clean.chl.csv,NA,Digital,ES2_42,14DAI,Soybean,AG4632,DMCC2126,Stationary,25fold,Stem2,isolateRep2,sample3,raw,0
127,ES2,DSC_0478.mod.sample.clean.chl.csv,NA,Digital,ES2_43,14DAI,Soybean,AG4632,DMCC2126,Stationary,100fold,Stem2,isolateRep1,sample1,raw,78.757
128,ES2,DSC_0478.mod.sample2.clean.chl.csv,NA,Digital,ES2_43,14DAI,Soybean,AG4632,DMCC2126,Stationary,100fold,Stem2,isolateRep1,sample2,raw,75.455
129,ES2,DSC_0478.mod.sample3.clean.chl.csv,NA,Digital,ES2_43,14DAI,Soybean,AG4632,DMCC2126,Stationary,100fold,Stem2,isolateRep1,sample3,raw,58.992
130,ES2,DSC_0421.mod.sample.clean.chl.csv,NA,Digital,ES2_44,14DAI,Soybean,AG4632,DMCC2126,Stationary,100fold,Stem2,isolateRep2,sample1,raw,105.11
131,ES2,DSC_0421.mod.sample2.clean.chl.csv,NA,Digital,ES2_44,14DAI,Soybean,AG4632,DMCC2126,Stationary,100fold,Stem2,isolateRep2,sample2,raw,192.407
132,ES2,DSC_0421.mod.sample3.clean.chl.csv,NA,Digital,ES2_44,14DAI,Soybean,AG4632,DMCC2126,Stationary,100fold,Stem2,isolateRep2,sample3,raw,207.739
133,ES2,DSC_0516.sample.clean.chl.csv,NA,Digital,ES2_45,14DAI,Soybean,AG4632,DMCC2126,Stationary,25fold,Stem3,isolateRep1,sample1,raw,9.843
134,ES2,DSC_0516.sample2.clean.chl.csv,NA,Digital,ES2_45,14DAI,Soybean,AG4632,DMCC2126,Stationary,25fold,Stem3,isolateRep1,sample2,raw,11.313
135,ES2,DSC_0516.sample3.clean.chl.csv,NA,Digital,ES2_45,14DAI,Soybean,AG4632,DMCC2126,Stationary,25fold,Stem3,isolateRep1,sample3,raw,14.05
136,ES2,DSC_0227.sample.clean.chl.csv,NA,Digital,ES2_46,14DAI,Soybean,AG4632,DMCC2126,Stationary,25fold,Stem3,isolateRep2,sample1,raw,10.376
137,ES2,DSC_0227.sample2.clean.chl.csv,NA,Digital,ES2_46,14DAI,Soybean,AG4632,DMCC2126,Stationary,25fold,Stem3,isolateRep2,sample2,raw,12.491
138,ES2,DSC_0227.sample3.clean.chl.csv,NA,Digital,ES2_46,14DAI,Soybean,AG4632,DMCC2126,Stationary,25fold,Stem3,isolateRep2,sample3,raw,17.619
139,ES2,DSC_0385.mod.sample.clean.chl.csv,NA,Digital,ES2_47,14DAI,Soybean,AG4632,DMCC2126,Stationary,100fold,Stem3,isolateRep1,sample1,raw,129.6
140,ES2,DSC_0385.mod.sample2.clean.chl.csv,NA,Digital,ES2_47,14DAI,Soybean,AG4632,DMCC2126,Stationary,100fold,Stem3,isolateRep1,sample2,raw,160.335
141,ES2,DSC_0385.mod.sample3.clean.chl.csv,NA,Digital,ES2_47,14DAI,Soybean,AG4632,DMCC2126,Stationary,100fold,Stem3,isolateRep1,sample3,raw,152.538
142,ES2,DSC_0357.mod.sample.clean.chl.csv,NA,Digital,ES2_48,14DAI,Soybean,AG4632,DMCC2126,Stationary,100fold,Stem3,isolateRep2,sample1,raw,171.123
143,ES2,DSC_0357.mod.sample2.clean.chl.csv,NA,Digital,ES2_48,14DAI,Soybean,AG4632,DMCC2126,Stationary,100fold,Stem3,isolateRep2,sample2,raw,152.11
144,ES2,DSC_0357.mod.sample3.clean.chl.csv,NA,Digital,ES2_48,14DAI,Soybean,AG4632,DMCC2126,Stationary,100fold,Stem3,isolateRep2,sample3,raw,167.514
145,ES2,DSC_0175.mod.sample.clean.chl.csv,NA,Digital,ES2_49,14DAI,Soybean,AG4632,DMCC2127,Shaking,25fold,Stem1,isolateRep1,sample1,raw,11.088
146,ES2,DSC_0175.mod.sample2.clean.chl.csv,NA,Digital,ES2_49,14DAI,Soybean,AG4632,DMCC2127,Shaking,25fold,Stem1,isolateRep1,sample2,raw,13.265
147,ES2,DSC_0175.mod.sample3.clean.chl.csv,NA,Digital,ES2_49,14DAI,Soybean,AG4632,DMCC2127,Shaking,25fold,Stem1,isolateRep1,sample3,raw,15.136
148,ES2,DSC_0375.sample.clean.chl.csv,NA,Digital,ES2_50,14DAI,Soybean,AG4632,DMCC2127,Shaking,25fold,Stem1,isolateRep2,sample1,raw,11.121
149,ES2,DSC_0375.sample2.clean.chl.csv,NA,Digital,ES2_50,14DAI,Soybean,AG4632,DMCC2127,Shaking,25fold,Stem1,isolateRep2,sample2,raw,0
150,ES2,DSC_0375.sample3.clean.chl.csv,NA,Digital,ES2_50,14DAI,Soybean,AG4632,DMCC2127,Shaking,25fold,Stem1,isolateRep2,sample3,raw,0
151,ES2,DSC_0262.mod.sample.clean.chl.csv,NA,Digital,ES2_51,14DAI,Soybean,AG4632,DMCC2127,Shaking,100fold,Stem1,isolateRep1,sample1,raw,12.879
152,ES2,DSC_0262.sample2.clean.chl.csv,NA,Digital,ES2_51,14DAI,Soybean,AG4632,DMCC2127,Shaking,100fold,Stem1,isolateRep1,sample2,raw,10.687
